ID товара,Наименование,Ссылка на товар,Регулярная цена,Промо цена,Бренд
45803,"Prescription Diet k-d Kidney Care Сухой диетический корм для кошек, лечение заболеваний почек, с курицей, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Hills_KD_dieticheskiy_suhoy_korm_dlya_koshek_pri_zabolevaniyah_pochek.html,3069,2762,Hill's
120010,"Vet Life UltraHypo диетический сухой корм для кошек, гипоаллергенный, с рыбой, 2кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/vet-life-natural-diet-cat-ultrahypo-400-gr.html,3425,3425,Farmina
41915,"Mother and Babycat корм для котят в возрасте от 1 до 4 месяцев и для беременных/лактирующих кошек, 2 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_Babycat_34_korm_suhoy_korm_dlya_kotyat_ot_1_do_4_mes_i_beremennyh_koshek.html,2369,2369,Royal Canin
81103,"Hairball корм для домашних кошек, часто страдающих от скопления комков шерсти в желудке, с курицей, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/monge-cat-hairball-korm-dlya-koshek-dlya-vyvedeniya-shersti-1-5-kg.html,1715,1715,Monge
104589,"Сухой корм Hills Science Plan для взрослых кошек для поддержания жизненной энергии и иммунитета, с ягненком, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Hills_Standard_suhoy_korm_dlya_koshek_yagnenok.html,1945,1362,Hill's
47819,"Science Plan Sterilised Cat сухой корм для кошек и котят, с тунцом, 1,5кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Hills_dlya_sterilizovannyh_koshek_tunets.html,1699,1699,Hill's
137199,"OCEAN CAT корм сухой для котят, с треской, креветкой, тыквой и дыней, 1,5кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/farmina-n-d-oushen-ket-treska-krevetka-tykva-i-dynya-dlya-kotyat-300g.html,2915,2915,Farmina
146688,"Indoor сухой корм для кошек с ягненком, рисом и горохом, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-indor-s-yagnenkom-risom-i-gorohom.html,1589,1589,UNICA
148181,"Kitten Delicate Корм сухой для котят с чувствительным пищеварением, с индейкой, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-kotyat-chuvstvitelnoe-pishchevarenie-s-indeykoy.html,929,929,Wellkiss
146266,"Корм сухой для стерилизованных кошек, с индейкой и курицей, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-indeykoy-i-kuricey.html,979,979,Sirius
75559,"Delicate сухой корм для взрослых кошек при чувствительном пищеварении с ягненком, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/proplan-suh-400g-d-koshek-chuvstvitelnoe-pishchevarenie-yagnenok.html,1755,1492,Pro Plan ®
146229,"WOW Сухой корм для стерилизованных кошек с индейкой, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-indeykoy2.html,827,827,AlphaPet
148188,"Senior Sterilized Корм сухой для кошек старше 7 лет, с индейкой, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-senor-steril-s-indeykoy.html,929,929,Wellkiss
145773,"Adult Care Renal Сухой корм для взрослых кошек с хронической почечной недостаточностью, с курицей, 3 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/ownat-care-korm-dlya-vzroslyh-koshek-renal-s-kuricey-pak-1-5kg.html,2815,2815,Ownat
42574,"Hypoallergenic DR25 корм для кошек с пищевой аллергией, 2,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_Hypoallergenic_dieticheskiy_suhoy_korm_dlya_koshek_pri_allergii.html,5217,5217,Royal Canin
137908,Корм сухой для стерилизованных кошек курица,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-kurica.html,1259,1259,Brit
42584,"Gastro Intestinal Moderate Calorie GIM35 корм для кошек при нарушении пищеварения с умеренным содержанием энергии, 2 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_Gastro_Intestinal_Moderate_Calorie_GIM35_dieticheskiy_suhoy_korm_dlya_koshek.html,3895,3895,Royal Canin
111436,"Cat Adult корм сухой для взрослых кошек с курицей, 10кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-dlya-vzroslyh-koshek-s-kuricey.html,7757,7757,Monge
146682,"Indoor сухой корм для кошек с курицей, морковью и рисом, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-indor-s-kuricey-morkovyu-i-risom.html,1449,1449,UNICA
86462,"Superpremium adult cat salmon корм для взрослых кошек с лососем, 1.5кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-dlya-vzroslyh-koshek-s-lososem.html,1775,1775,Monge
